date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:46	88/88	---M-Z	200	added ('OK')	text/plain	date:Thu,%2016%20Nov%202023%2009:58:43%20GMT	https://www.fynd.academy/robots.txt		(from )
15:28:46	57162/57162	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:43%20GMT	https://www.fynd.academy/	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/index.html	(from )
15:28:47	546613/546613	---M-Z	200	added ('OK')	text/css	etag:%22acf7bd9769ce4291fdee97117e476e7f%22	https://assets-global.website-files.com/603683469df97967298e6e81/css/fynd-academy.webflow.93892fb49.css	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/css/fynd-academy.webflow.93892fb49.css	(from https://www.fynd.academy/)
15:28:47	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.fynd.academy/)
15:28:47	1238/1238	---M--	200	added ('OK')	image/png	etag:%228cb7434a965328799c3ad1642e7306ea%22	https://assets-global.website-files.com/603683469df97967298e6e81/65083199bf51ab4d82916885_Fynd%20Academy_Logo_icon%201.png	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/65083199bf51ab4d82916885_Fynd%20Academy_Logo_icon%201.png	(from https://www.fynd.academy/)
15:28:47	9616/9616	---M--	200	added ('OK')	image/png	etag:%2225eb5931a505a71d69702965a3e3f09c%22	https://assets-global.website-files.com/603683469df97967298e6e81/650831c17dd32ba3949718af_Fynd%20Academy_Logo_icon%20256.png	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/650831c17dd32ba3949718af_Fynd%20Academy_Logo_icon%20256.png	(from https://www.fynd.academy/)
15:28:48	5813/5813	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216b5-mUdK3ATIbs0zI6hAUHjgW5RW6J4%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsprevnext@1/cmsprevnext.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsprevnext@1/cmsprevnext.js	(from https://www.fynd.academy/)
15:28:48	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.fynd.academy/)
15:28:48	10083/10083	---M-Z	200	added ('OK')	application/javascript	etag:W/%222763-92aLxQajFxZ9xf2IW9u7aX4tTgg%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	(from https://www.fynd.academy/)
15:28:48	18440/18440	---M-Z	200	added ('OK')	application/javascript	etag:W/%224808-98jcUWHSC9JHe1jYw2HWpeOx6ko%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.fynd.academy/)
15:28:49	13529/13529	---M-Z	200	added ('OK')	application/javascript	etag:W/%2234d9-HwAOpSPnSyp7+tx1I5ohnG7sqMM%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-rangeslider@1/rangeslider.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/@finsweet/attributes-rangeslider@1/rangeslider.js	(from https://www.fynd.academy/)
15:28:49	1681/1681	---M-Z	200	added ('OK')	application/javascript	etag:W/%22691-nsW9ygnrEUkpEGcvy0hZTQTrY68%22	https://cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdn.jsdelivr.net/npm/js-cookie@3.0.1/dist/js.cookie.min.js	(from https://www.fynd.academy/)
15:28:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2016%20Nov%202023%2009:58:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.fynd.academy/)
15:28:51	520889/520889	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f2b9-0cV0SSqslfKjB9F1E6E7hYK6sWo%22	https://script.copilot.live/v1/copilot.min.js?tkn=cat-0f0y8zy9	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/script.copilot.live/v1/copilot.min8511.js	(from https://www.fynd.academy/)
15:28:51	69105/69105	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-10df1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.css	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.css	(from https://www.fynd.academy/)
15:28:51	40071/40071	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:49%20GMT	https://www.fynd.academy/courses	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/courses.html	(from https://www.fynd.academy/)
15:28:52	47190/47190	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:50%20GMT	https://www.fynd.academy/hire-from-us	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/hire-from-us.html	(from https://www.fynd.academy/)
15:28:52	33053/33053	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:50%20GMT	https://www.fynd.academy/about	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/about.html	(from https://www.fynd.academy/)
15:28:53	24937/24937	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:51%20GMT	https://www.fynd.academy/contact-us	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/contact-us.html	(from https://www.fynd.academy/)
15:28:54	22069/22069	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:51%20GMT	https://www.fynd.academy/register	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/register.html	(from https://www.fynd.academy/)
15:28:55	33668/33668	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:53%20GMT	https://www.fynd.academy/courses/full-stack-with-javascript-mern-stack	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/courses/full-stack-with-javascript-mern-stack.html	(from https://www.fynd.academy/)
15:28:55	32156/32156	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:53%20GMT	https://www.fynd.academy/courses/product-design-ui-ux	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/courses/product-design-ui-ux.html	(from https://www.fynd.academy/)
15:28:56	35577/35577	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:54%20GMT	https://www.fynd.academy/courses/game-development	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/courses/game-development.html	(from https://www.fynd.academy/)
15:28:57	34285/34285	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:54%20GMT	https://www.fynd.academy/courses/blockchain-development	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/courses/blockchain-development.html	(from https://www.fynd.academy/)
15:28:57	30038/30038	---M--	200	added ('OK')	image/jpeg	etag:%22c4dbe1070ec143efe7bef52a1cd1c23e%22	https://assets-global.website-files.com/603683469df97967298e6e81/64f841838bb4cd73b01f042e_Amber%20-%20Amber%20Sinha.jpeg	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/64f841838bb4cd73b01f042e_Amber%20-%20Amber%20Sinha.jpg	(from https://www.fynd.academy/)
15:29:00	42432/42432	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:56%20GMT	https://www.fynd.academy/privacy	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/privacy.html	(from https://www.fynd.academy/)
15:29:00	1133749/1133749	---M--	200	added ('OK')	image/jpeg	etag:%2227b70c40301b3994d2aa03d022943277%22	https://assets-global.website-files.com/603683469df97967298e6e81/64f841fb73ca306920eea616_A455FC95-112D-435A-BBF5-7C37161460E3%20-%20Swayamdipta%20Saha.jpeg	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/64f841fb73ca306920eea616_A455FC95-112D-435A-BBF5-7C37161460E3%20-%20Swayamdipta%20Saha.jpg	(from https://www.fynd.academy/)
15:29:00	20399/20399	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2009:58:58%20GMT	https://www.fynd.academy/caution-notice	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/www.fynd.academy/caution-notice.html	(from https://www.fynd.academy/)
15:29:00	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=603683469df97967298e6e81	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c84ba6.js	(from https://www.fynd.academy/)
15:29:23	1076513/1076513	---M-Z	200	added ('OK')	text/javascript	etag:%222b26c88a70b0bcb9db4919bc984935fe%22	https://assets-global.website-files.com/603683469df97967298e6e81/js/webflow.fbfe3b93e.js	D:/valtech%20innovations/project's/new-fynd-academy/fynd%20academy/assets-global.website-files.com/603683469df97967298e6e81/js/webflow.fbfe3b93e.js	(from https://www.fynd.academy/)
